perfil,competenecia_laboral,familia,sector,tipo,estado
operaciones auxiliares de concentración gravimétrica,"realizar los procesos de concentración gravimétrica en minería metálica, de acuerdo a la planificación y procedimientos establecidos.","minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
operaciones auxiliares de mantenimiento de cubierta,"realizar el mantenimiento de equipos, sistemas, estructuras y espacios de cubierta, y las actividades de estiba y limpieza requeridas a bordo, de acuerdo a los procedimientos establecidos, la normativa legal vigente.","transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
operaciones de rescate vehicular y desastres,"brindar servicio de rescate y atención prehospitalaria en emergencias por accidentes de tránsito en la red vial y en desastres, de acuerdo a procedimientos establecidos y normativas vigentes.",actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
operaciones de centrales eléctricas,"ejecutar el proceso de producción de energía eléctrica en unidades de generación, de acuerdo a procedimientos establecidos y normativa legal vigente.","electricidad, gas y agua","suministro de electricidad, gas, vapor y aire acondicionado",oc,habilitado
operaciones de control de tránsito y transporte terrestre,controlar la movilidad terrestre de acuerdo a la normativa vigente.,actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
operaciones de control de transportación pública y comercial,"controlar la transportación pública,  comercial y por cuenta propia en todas sus modalidades de acuerdo a la normativa vigente.",actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
operaciones de escolta motorizada de dignatarios,brindar servicio de seguridad vial durante el desplazamiento de dignatarios en base a procedimiento establecido y  normativa vigente.,actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
operaciones de fiscalización de perforación y reacondicionamiento de pozos de hidrocarburos,"fiscalizar operaciones de perforación y reacondicionamiento de pozos de hidrocarburos, de acuerdo a procedimientos establecidos y normas vigentes.","minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
operaciones de investigación de accidentes de tránsito,"investigar los accidentes de tránsito, de acuerdo a procedimientos técnicos y científicos de criminalística vial y normativa vigente.",actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
operaciones de investigación de asuntos internos,"realizar las operaciones de investigación de asuntos internos al personal del cuerpo de vigilantes y empleados civiles, en base a la ley, principios y valores establecidos.",actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
operaciones de señalética vial,señalizar la red vial estatal y demás circunscripciones bajo la normativa vigente.,actividades tipo servicios,fabricación de otros tipos de equipos de transporte,oc,habilitado
operaciones de supervisión de taladro petrolero,"realizar la supervisión de la mudanza (montaje y desmontaje) y las operaciones del taladro, de acuerdo a la legislación del país, condiciones establecidas en el contrato y estándares mundialmente reconocidos por la industria.","minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
interpretación musical: instrumental y vocal,"realizar la interpretación musical mediante el canto o la ejecución del instrumento musical aplicando técnicas propias de cada género, estilo y época musical.",actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",oc,habilitado
operaciones de sistemas de refrigeración o aire acondicionado,"realizar la instalación y mantenimiento de sistemas de refrigeración o aire acondicionado mediante la aplicación de buenas prácticas de acuerdo a la clasificación de seguridad del refrigerante, recomendaciones del fabricante y normativa ambiental vigente.",actividades tipo servicios,"otras actividades profesionales, científicas y técnicas",oc,habilitado
asistencia en actividades de sanidad vegetal,realizar actividades de prevención de la propagación de plagas y enfermedades en el cultivo de acuerdo a procedimientos establecidos,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",oc,habilitado
cultivo de productos de ciclo perenne,"cultivar productos de ciclo perenne en función de las características propias de la especie y factores geográficos, climáticos y de suelo.",agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",oc,habilitado
cultivo de productos de ciclo corto,"cultivar productos de ciclo corto en función de las características propias de la especie y factores geográficos, climáticos y de suelo",agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",oc,habilitado
operaciones de polinización asistida,realizar la polinización asistida en plantas de acuerdo a procedimientos establecidos y normativa legal vigente.,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",oc,habilitado
producción de cultivos orgánicos,cultivar alimentos orgánicos agrícolas en función de la normativa vigente.,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",oc,habilitado
producción y mantenimiento de plantas en viveros,"desarrollar el proceso de producción y mantenimiento de distintas especies y variedades de plantas en condiciones controladas en vivero, de acuerdo a criterios técnicos y normativa ambiental vigente",agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",oc,habilitado
aserrado de madera,"efectuar la recepción, la clasificación y la preparación de la madera en rollo así como la conducción de las máquinas de aserrado y clasificar la madera aserrada, consiguiendo la calidad requerida, en condiciones de salud laboral.","productos industriales, farmacéuticos y químicos","producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",oc,habilitado
fabricación de tableros de partículas y fibras de madera,"fabricar tableros de partículas y de fibras a partir del astillado y el desfibrado de la madera en rollo, astillas, residuos o reciclado de madera, mediante su encolado y prensado automatizado, así como su recubrimiento, consiguiendo la calidad requerida, en las condiciones de seguridad, de salud laboral y de medio ambiente adecuadas.","productos industriales, farmacéuticos y químicos","producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",oc,habilitado
