Perfil,Competenecia Laboral,Familia,Sector
MOLDEO Y MACHERIA,"REALIZAR LAS OPERACIONES DE MOLDEO Y MACHERÍA PARA FUNDICIÓN DE ALEACIONES METÁLICAS, CONTROLANDO LOS PRODUCTOS OBTENIDOS, ASÍ COMO LA PREPARACIÓN, PUESTA A PUNTO, FUNCIONAMIENTO Y MANTENIMIENTO DE PRIMER NIVEL DE LAS INSTALACIONES, MÁQUINAS Y UTILLAJES; CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
PRODUCCIÓN EN FUNDICIÓN Y PULVIMETALURGICA,"DETERMINAR LOS PROCESOS OPERACIONALES DE FUNDICIÓN Y PULVIMETALURGIA Y REALIZAR LA PROGRAMACIÓN DE SISTEMAS AUTOMÁTICOS DE FABRICACIÓN, ASÍ COMO ORGANIZAR Y SUPERVISAR LA PRODUCCIÓN, A PARTIR DE LA DOCUMENTACIÓN TÉCNICA DEL PROCESO, CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
OPERACIONES DE HORNO EN TRATAMIENTO TÉRMICO,"OPERAR HORNOS ELÉCTRICOS POR INDUCCIÓN PARA TRATAMIENTOS TÉRMICOS DE TRANSFORMACIÓN ESTRUCTURAL (NORMALIZADO, RECOCIDO, TEMPLE Y REVENIDO), ASÍ COMO TAMBIÉN HORNOS PARA TRATAMIENTOS TERMOQUÍMICOS (CEMENTADO, NITRURADO, SULFINIZADO, CIANURADO, CARBONITRURADO), APLICANDO LAS NORMAS DE CALIDAD, CONFIABILIDAD Y SEGURIDAD E HIGIENE PERSONAL Y EN CUMPLIMIENTO DE LA NORMATIVA DEL CUIDADO DEL MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
GESTIÓN DE SOLDADURA,"REALIZAR OPERACIONES DE SOLDADURA SOBRE METALES Y CORTE POR PROYECCIÓN TÉRMICA, APLICANDO PROCESOS O.A.W (SOLDADURA OXIACETILÉNICA), S.M.A.W (SOLDADURA POR ARCO METÁLICO PROTEGIDO), G.M.A.W (SOLDADURA POR ARCO METÁLICO CON PROTECCIÓN GASEOSA) Y SOLDADURA TIG (SOLDADURA CON ELECTRODO DE TUNGSTENO Y PROTECCIÓN GASEOSA), ASÍ COMO PROCESOS DE CORTE POR OXIGAS, PLASMA Y ELECTRODO SEGÚN ESPECIFICACIONES AWS (SOCIEDAD AMERICANA DE SOLDADURA) CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE, Y DE ACUERDO A NORMAS NACIONALES E INTERNACIONALES.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
SOLDADURAS ESPECIALES,"REALIZAR LAS SOLDADURAS DE ACUERDO CON ESPECIFICACIONES DE PROCEDIMIENTOS DE SOLDEO (WPS), CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
MECANIZADO POR ARRANQUE DE VIRUTA,"REALIZAR LOS PROCESOS DE MECANIZADO POR ARRANQUE DE VIRUTA, CONTROLANDO LOS PRODUCTOS OBTENIDOS Y RESPONSABILIZÁNDOSE DEL MANTENIMIENTO DE PRIMER NIVEL DE LAS MÁQUINAS Y EQUIPOS, CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
TRATAMIENTOS SUPERFICIALES,"REALIZAR TRATAMIENTOS SUPERFICIALES, CONTROLANDO LOS PRODUCTOS OBTENIDOS CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE, ASÍ COMO EL FUNCIONAMIENTO DE LOS EQUIPOS E INSTALACIONES, RESPONSABILIZÁNDOSE DE SU MANTENIMIENTO DE PRIMER NIVEL.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
GESTIÓN DE LA PRODUCCIÓN EN FABRICACIÓN MECÁNICA,"PROGRAMAR Y CONTROLAR LA PRODUCCIÓN EN FABRICACIÓN MECÁNICA, PARA ASEGURAR SU AJUSTE CON LOS OBJETIVOS DE PRODUCCIÓN Y ORDENES DE FABRICACIÓN, DETERMINANDO LOS LOTES QUE SE DEBEN FABRICAR Y EL COMIENZO DE SU PRODUCCIÓN, GARANTIZANDO EL SUMINISTRO DE MATERIAS PRIMAS Y PRODUCTOS SEMIELABORADOS EN LAS LÍNEAS Y PUESTOS DE FABRICACIÓN, CUMPLIENDO CON LOS CRITERIOS DE CALIDAD, SEGURIDAD Y PROTECCIÓN DEL MEDIO AMBIENTE ESTABLECIDOS.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
OPERACIONES DE MÁQUINAS CONVENCIONALES,"ELABORAR PIEZAS GEOMÉTRICAS DE METAL, MADERA O PLÁSTICO DE ACUERDO A MEDICIONES Y/O VERIFICACIONES DE MAGNITUDES DIMENSIONALES, ANGULARES, CALIDAD SUPERFICIAL, SEGÚN NORMATIVAS ESTABLECIDAS.","ELECTRICIDAD, GAS Y AGUA",FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.
METROLOGÍA LEGAL,"REALIZAR EL CONTROL METROLÓGICO A LOS EQUIPOS, INSTRUMENTOS DE MEDICIÓN Y PRODUCTOS PRE ENVASADOS/PRE EMPACADOS DE ACUERDO A LAS REGULACIONES VIGENTES.",ACTIVIDADES TIPO SERVICIOS,"FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA"
GESTIÓN EN MECÁNICA INDUSTRIAL,"OBTENER PIEZAS MEDIANTE MECANIZADO A ALTA VELOCIDAD Y ALTO RENDIMIENTO, PLANIFICANDO Y CONTROLANDO LOS PROCESOS OPERACIONALES DE MECANIZADO Y PRODUCTOS FABRICADOS, ADAPTANDO LOS PLANOS DE FABRICACIÓN A LAS NECESIDADES DEL PROCESO, DISEÑANDO LOS UTILLAJES, PREPARANDO Y PONIENDO A PUNTO LAS MÁQUINAS, RESPONSABILIZÁNDOSE DEL MANTENIMIENTO DE PRIMER NIVEL DE LOS EQUIPOS, CONSIGUIENDO LOS CRITERIOS DE CALIDAD, CUMPLIENDO LOS PLANES DE PREVENCIÓN DE RIESGOS LABORALES Y MEDIOAMBIENTALES DE LA EMPRESA, Y LA NORMATIVA DE APLICACIÓN VIGENTE.",METALMECÁNICA,FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.
FABRICACIÓN Y MONTAJE DE MUEBLES,"REALIZAR EL MECANIZADO, MONTAJE, ACABADO, ALMACENAMIENTO Y EXPEDICIÓN DE LOS PROCESOS DE FABRICACIÓN DE MUEBLES ASÍ COMO LA PREPARACIÓN, PUESTA A PUNTO Y OPERACIÓN DE LAS MÁQUINAS, HERRAMIENTAS Y EL MONTAJE DEL MUEBLE EN EL LUGAR DE DESTINO OBTENIENDO PRODUCTOS DE CALIDAD EN CONDICIONES DE SEGURIDAD Y EN LOS PLAZOS REQUERIDOS.",ACTIVIDADES TIPO SERVICIOS,FABRICACIÓN DE MUEBLES
"ELABORACIÓN DE ""PRENDAS DE VESTIR""","ELABORAR ""PRENDAS DE VESTIR"" A TRAVÉS DE PROCESOS:DISEÑO; PLANO DE CORTE TENDIDO, CORTE; CONFECCIÓN Y ACABADOS, DE ACUERDO A PROCEDIMIENTOS Y/O NORMAS TÉCNICAS DE REFERENCIA Y AL USO FINAL DE LA VESTIMENTA.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRENDAS DE VESTIR.
GESTIÓN DE PROYECTOS AMBIENTALES,"REALIZAR LA PLANIFICACIÓN, EJECUCIÓN, EVALUACIÓN, MONITOREO Y COORDINACIÓN DE LAS ACTIVIDADES EN CAMPO EN BASE AL TIPO DE PROYECTO AMBIENTAL MEDIANTE LA RECOPILACIÓN DE INFORMACIÓN Y GENERACIÓN DE REPORTES DE CUMPLIMIENTO DE LAS ACTIVIDADES PROGRAMADAS DE ACUERDOA LOS PARÁMETROS, NORMAS, LEYES AMBIENTALES VIGENTES Y REQUERIMIENTOS DEL PROYECTO.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN
GESTIÓN DE CALIDAD,"REALIZAR EL DISEÑO, IMPLEMENTACIÓN, MANTENIMIENTO Y MEJORA DEL SISTEMA DE CALIDAD (SIC) DE UNA ORGANIZACIÓN CON BASE AL CUMPLIMIENTO DE LEYES Y NORMATIVAS ESPECÍFICAS VIGENTES APLICABLES A SU ACTIVIDAD.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN
GESTIÓN DE SISTEMAS DE INOCUIDAD ALIMENTARIA,"ADMINISTRAR UN SISTEMA DE GESTIÓN DE LA INOCUIDAD DE LOS ALIMENTOS EN TODA LA CADENA PRODUCTIVA, DE ACUERDO A LOS REQUISITOS DE LA NORMATIVA LEGAL VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN
GESTIÓN EN MEDICIÓN Y MONITOREO AMBIENTAL,"ELABORAR LA DOCUMENTACIÓN, EJECUTAR LA PUESTA EN MARCHA, MANTENIMIENTO Y PROPONER ACCIONES PARA LA MEJORA DEL SISTEMA DE GESTIÓN AMBIENTAL.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN
OPERACIONES DE CARTOGRAFÍA,ELABORAR PRODUCTOS CARTOGRÁFICOS MULTIESCALA DE ACUERDO A REQUERIMIENTOS Y PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ARQUITECTURA E INGENIERÍA; ENSAYOS Y ANÁLISIS TÉCNICOS
OPERACIONES EN CAPTURA Y PROCESAMIENTO DE DATOS DE VUELO E IMÁGENES DIGITALES,REALIZAR LA CAPTURA Y PROCESAMIENTO DE DATOS DE VUELO E IMÁGENES DIGITALES OBTENIDOS A TRAVÉS DE SENSORES AEROTRANSPORTADOS Y TERRESTRES DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ARQUITECTURA E INGENIERÍA; ENSAYOS Y ANÁLISIS TÉCNICOS
ANÁLISIS QUÍMICO,"REALIZAR LOS ESTUDIOS Y ANÁLISIS FÍSICOS, QUÍMICOS Y MICROBIOLÓGICOS DE LOS PRODUCTOS FARMACÉUTICOS ELABORADOS CONFORME A BUENAS PRÁCTICAS DE MANUFACTURA, CONTROL DE CALIDAD, GUÍAS ICH, SEGURIDAD Y POLÍTICAS INTERNAS DE LA ORGANIZACIÓN.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",ACTIVIDADES DE ARQUITECTURA E INGENIERÍA; ENSAYOS Y ANÁLISIS TÉCNICOS
DESARROLLO DE PRODUCTOS EDITORIALES MULTIMEDIA PROFESIONAL,"DESARROLLAR PRODUCTOS MULTIMEDIA A PARTIR DE PROYECTOS EDITORIALES, DESTINADOS A ENTORNOS WEB O A SOPORTES FÍSICOS DIGITALES; DETERMINANDO LOS ASPECTOS DE FUNCIONALIDAD, INTERACCIÓN Y USABILIDAD, DEFINIENDO SU ARQUITECTURA, REALIZANDO EL DISEÑO DE LOS ELEMENTOS GRÁFICOS Y MULTIMEDIA NECESARIOS PARA OBTENER EL PRODUCTO, GESTIONANDO Y CONTROLANDO LA CALIDAD DEL PRODUCTO EDITORIAL MULTIMEDIA.",ACTIVIDADES COMUNITARIAS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS"
MONTAJE DE MUEBLES Y ELEMENTOS DE CARPINTERÍA,"MONTAR, AJUSTAR, ENSAMBLAR Y EMBALAR MUEBLES Y ELEMENTOS DE CARPINTERÍA, PREVIA RECEPCIÓN Y ORGANIZACIÓN DE LOS ELEMENTOS NECESARIOS, APLICANDO LAS TÉCNICAS Y PROCEDIMIENTOS REQUERIDOS EN CADA CASO, CONSIGUIENDO LA CALIDAD REQUERIDA EN CONDICIONES DE SEGURIDAD.",PRODUCTOS INDUSTRIALES FARMACÉUTICOS Y QUÍMICOS,FABRICACIÓN DE MUEBLES
TRABAJOS DE CARPINTERÍA Y MUEBLE,"OPERAR CON EQUIPOS DE MECANIZADO PARA LA FABRICACIÓN DE ELEMENTOS DE CARPINTERÍA Y MUEBLE, AJUSTAR Y EMBALAR PRODUCTOS Y ELEMENTOS DE CARPINTERÍA Y MUEBLE Y COLABORAR EN SU MONTAJE E INSTALACIÓN CON LA CALIDAD REQUERIDA Y EN LAS CONDICIONES DE SEGURIDAD, SALUD LABORAL Y MEDIO AMBIENTALES ADECUADAS.",PRODUCTOS INDUSTRIALES FARMACÉUTICOS Y QUÍMICOS,FABRICACIÓN DE MUEBLES
DISEÑO DE PRODUCTOS GRÁFICOS,"DESARROLLAR PROYECTOS GRÁFICOS A PARTIR DE LAS ESPECIFICACIONES INICIALES DEL PRODUCTO; ELABORANDO BOCETOS, SELECCIONANDO Y ADECUANDO COLOR, IMÁGENES Y FUENTES TIPOGRÁFICAS; CREANDO ELEMENTOS GRÁFICOS, MAQUETAS Y ARTES FINALES; UTILIZANDO HERRAMIENTAS INFORMÁTICAS; REALIZANDO RESUPUESTOS EN FUNCIÓN DE LAS CARACTERÍSTICAS DEL PROYECTO Y VERIFICANDO LA CALIDAD DEL PRODUCTO TERMINADO.",ACTIVIDADES COMUNITARIAS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS"
GESTIÓN EN FOTOGRAFÍA,"PLANIFICAR, GESTIONAR Y SUPERVISAR EL PROCESADO Y TRATAMIENTO DE MATERIALES FOTOSENSIBLES EXPUESTOS Y DE IMÁGENES EN SOPORTE DIGITAL, LA IMPRESIÓN DE COPIAS POR PROCEDIMIENTOS NO FOTOQUÍMICOS, LA DIGITALIZACIÓN, LA GENERACIÓN Y EL TRATAMIENTO DIGITAL DE IMÁGENES, PLANIFICANDO LAS TAREAS DEL LABORATORIO PARA CONSEGUIR LA CALIDAD Y LA PRODUCTIVIDAD REQUERIDA, OBSERVANDO LA NORMATIVA DE PREVENCIÓN DE RIESGOS LABORALES Y DE GESTIÓN AMBIENTAL.",ACTIVIDADES COMUNITARIAS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS"
INTERPRETACIÓN DE LENGUA DE SEÑAS ECUATORIANA,"TRANSMITIR UN DISCURSO DE TIPO ORAL, A TRAVÉS DE UNA MEDIACIÓN LINGÜÍSTICA, EN LENGUA DE SEÑAS ECUATORIANA Y VICEVERSA, COMUNICANDO ÉTICAMENTE LA CULTURA, GRAMÁTICA Y SENTIDO DEL MENSAJE EMITIDO POR LOS ACTORES QUE INTERVIENEN EN EL DIÁLOGO, PROCURANDO LAS MEJORES CONDICIONES LOGÍSTICAS Y EL TRATO ADECUADO TANTO A LAS PERSONAS SORDAS COMO AL INTÉRPRETE EN EL ÁMBITO DE SU COMPETENCIA, GARANTIZANDO LA CALIDAD DE LA INTERPRETACIÓN.",ACTIVIDADES COMUNITARIAS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS"
IDENTIFICACIÓN DE BIENES CULTURALES DE VALOR NACIONAL,REALIZAR LA AUTENTIFICACIÓN DE BIENES CULTURALES PATRIMONIALES DE ACUERDO A LA NORMATIVA LEGAL Y TÉCNICA VIGENTES.,ACTIVIDADES COMUNITARIAS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS"
INSPECCIÓN SANITARIA EN CENTROS DE FAENAMIENTO,"REALIZAR LA INSPECCIÓN SANITARIA DE ANIMALES DE ABASTO, PRODUCTOS Y SUB PRODUCTOS CÁRNICOS EN CENTROS DE FAENAMIENTO DESTINADAS AL CONSUMO HUMANO DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS CUMPLIENDO LA NORMATIVA VIGENTE",PRODUCCIÓN PECUARIA,ACTIVIDADES VETERINARIAS
"GESTIÓN DE PROMOCIÓN DE MARCAS, PRODUCTOS Y SERVICIOS","GESTIONAR ACTIVIDADES DE PARTICIPACIÓN, POSICIONAMIENTO, PROMOCIÓN Y/O ACTIVACIÓN DE MARCAS, PRODUCTOS O SERVICIOS, ACORDE A LOS OBJETIVOS ORGANIZACIONALES ESTABLECIDOS.",COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,PUBLICIDAD Y ESTUDIOS DE MERCADO
GESTIÓN DE PATROCINIO Y REPRESENTACIÓN JUDICIAL,"PATROCINAR A LA INSTITUCIÓN EN TODOS LOS PROCESOS ADMINISTRATIVOS Y JUDICIALES, EN DEFENSA DE LOS INTERESES DE LA INSTITUCIÓN, DE CONFORMIDAD AL ORDENAMIENTO JURÍDICO VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
VIGILANCIA Y SEGURIDAD PRIVADA,"BRINDAR SERVICIOS DE PROTECCIÓN, VIGILANCIA Y SEGURIDAD PRIVADA A PERSONAS, INSTALACIONES, BIENES MUEBLES E INMUEBLES, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA LEGAL VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE SEGURIDAD E INVESTIGACIÓN
"SUPERVISIÓN EN LA INSTALACIÓN DE PARQUES, JARDINES Y RESTAURACIÓN DE PAISAJE","SUPERVISAR LOS TRABAJOS DE INSTALACIÓN, MANTENIMIENTO Y MEJORA DE JARDINES Y ÁREAS VERDES TOMANDO EN CUENTA LA NORMATIVA DE SEGURIDAD Y LA LEGISLACIÓN MEDIOAMBIENTAL VIGENTE.",ACTIVIDADES COMUNITARIAS,ACTIVIDADES DE SERVICIOS A EDIFICIOS Y PAISAJISMO
TÉCNICAS EN ENTRENAMIENTO DEPORTIVO,"DIRIGIR EL PROCESO DE PREPARACIÓN Y DE ENTRENAMIENTO, INDIVIDUAL O COLECTIVO DE LOS DEPORTISTAS ANTES, DURANTE Y DESPUÉS DE SU PARTICIPACIÓN EN COMPETENCIAS, VELANDO POR SU INTEGRIDAD FÍSICA, EN CONDICIONES DE SEGURIDAD Y CALIDAD.",ACTIVIDADES COMUNITARIAS,ENSEÑANZA
GESTIÓN EN DESARROLLO INFANTIL INTEGRAL,"COORDINAR PROYECTOS DE ANIMACIÓN FÍSICO-DEPORTIVOS Y RECREATIVOS, EVENTOS Y ACTIVIDADES QUE LO CONSTITUYEN, A TODO TIPO DE USUARIOS, ADAPTÁNDOLOS A LAS CARACTERÍSTICAS DEL MEDIO Y A LAS CARACTERÍSTICAS Y EXPECTATIVAS DE LOS PARTICIPANTES, TOMANDO EN CONSIDERACIÓN NORMAS DE SEGURIDAD.",ACTIVIDADES DE ENSEÑANZA,ENSEÑANZA
INSTRUCCIÓN EN ACTIVIDADES DE CAPACITACIÓN,"FACILITAR EL APRENDIZAJE DEL INDIVIDUO QUE PARTICIPA DE LA ACCIÓN FORMATIVA, DE ACUERDO AL DISEÑO ESTABLECIDO Y OBJETIVOS DE APRENDIZAJE ESPERADOS.",ACTIVIDADES TIPO SERVICIOS,ENSEÑANZA
GESTIÓN EN COMERCIO EXTERIOR,GESTIONAR OPERACIONES COMERCIALES NACIONALES E INTERNACIONALES DE PRODUCTOS Y SERVICIOS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS EN LA NORMATIVA VIGENTE QUE RIGEN AL COMERCIO EXTERIOR,COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
ATENCIÓN EN EL HOGAR Y LA COMUNIDAD DE PERSONAS CON DISCAPACIDAD,DESARROLLAR CAPACIDADES EN LAS FAMILIAS PROCURANDO EL DESARROLLO DE LAS HABILIDADES DE LA PERSONA CON DISCAPACIDAD Y SU INCLUSIÓN EN LA COMUNIDAD DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES DE ENSEÑANZA,ENSEÑANZA
TRASLADO Y MOVILIZACIÓN DE PACIENTES,REALIZAR EL TRASLADO DE LOS PACIENTES DE UN CENTRO CLÍNICO U HOSPITALARIO DE ACUERDO A LOS PROTOCOLOS ESTABLECIDOS CUMPLIENDO LA NORMATIVA VIGENTE.,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA
OPERACIONES AUXILIARES DE SALUD ORAL,REALIZAR ACTIVIDADES DE APOYO EN TRATAMIENTOS DE SALUD ORAL Y ATENCIÓN A PACIENTES EN UNIDADES ODONTOLÓGICAS DE ACUERDO A REQUERIMIENTOS ESTABLECIDOS.,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA
GESTIÓN DE ACTIVIDADES DE SALUD DE NIVEL PRIMARIO,"MPLEMENTAR ACTIVIDADES DE GESTION DE LA ATENCION PRIMARIA DE SALUD CON ENFASIS PREVENTIVO Y PROMOCIONAL, LIGADOS AL DESARROLLO COLECTIVO DE SU POBLACION, INCLUYENDO LA ORGANIZACION DE ACTIVIDADES DE REHABILITACION Y CUIDADOS PALIATIVOS APLICANDO LAS NORMAS DE SALUD VIGENTES",ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA
GESTIÓN EN SALUD OCUPACIONAL Y MEDICINA DEL TRABAJO,REALIZAR LA VIGILANCIA DE LA SALUD CONFORME LA NORMATIVA LEGAL VIGENTE,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA
OPERACIONES AUXILIARES DE LABORATORIO CLÍNICO,REALIZAR ACTIVIDADES DE APOYO DE LABORATORIO CLÍNICO DE ACUERDO A LA NORMATIVA LEGAL VIGENTE.,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA
FACILITACIÓN EN LA ATENCIÓN A PERSONAS CON DISCAPACIDAD,REALIZAR ACCIONES PARA EL DESARROLLO DE HABILIDADES Y DESTREZAS PROMOVIENDO LA INDEPENDENCIA Y AUTONOMÍA DE LA PERSONA CON DISCAPACIDAD CONSIDERANDO LA NORMATIVA VIGENTE.,ACTIVIDADES COMUNITARIAS,ACTIVIDADES DE ATENCIÓN EN INSTITUCIONES
OPERACIONES DE AUDIO EN EVENTOS ARTÍSTICOS,"MANEJAR LOS SISTEMAS DE AUDIO REQUERIDOS EN EL REGISTRO, REPRESENTACIÓN Y TRANSMISIÓN DE EVENTOS DE ARTES ESCÉNICAS Y AUDIOVISUALES, DE ACUERDO A LAS ESPECIFICACIONES TÉCNICAS Y ATENDIENDO LAS POLÍTICAS, PRÁCTICAS VIGENTES.",ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO"
CREACIÓN DE VESTUARIO DE OBRAS Y ESPECTÁCULOS,REALIZAR EL DISEÑO Y CONFECCIÓN DE TRAJES FUNCIONALES PARA OBRAS Y ESPECTÁCULOS DE ACUERDO AL PROYECTO CREATIVO A PONER EN ESCENA,ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO"
GESTIÓN DE PROYECTOS CULTURALES,"IMPLEMENTAR PROYECTOS CULTURALES, ARTÍSTICOS Y PATRIMONIALES QUE CONTRIBUYAN AL EJERCICIO DE LOS DERECHOS CULTURALES CUMPLIENDO LA NORMATIVA VIGENTE.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO"
GESTIÓN ADMINISTRATIVA,"REALIZAR LAS OPERACIONES DE LA GESTIÓN ADMINISTRATIVA DE COMPRAVENTA DE PRODUCTOS Y SERVICIOS, TESORERÍA Y PERSONAL, ASÍ COMO LA INTRODUCCIÓN DE REGISTROS CONTABLES PREDEFINIDOS, PREVIA OBTENCIÓN Y PROCESAMIENTO Y ARCHIVO DE LA INFORMACIÓN NECESARIA MEDIANTE LOS SOPORTES CONVENCIONALES O INFORMÁTICOS ADECUADOS, SIGUIENDO INSTRUCCIONES DEFINIDAS, EN CONDICIONES DE SEGURIDAD, RESPETO A LA NORMATIVA VIGENTE Y ATENDIENDO A CRITERIOS DE CALIDAD DEFINIDOS POR LA ORGANIZACIÓN.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA Y OTRAS ACTIVIDADES DE APOYO A LAS EMPRESAS
OPERACIONES DE CALL-CENTER,GESTIONAR CANALES DE COMUNICACIÓN TELEFÓNICA A LAS EMPRESAS OBTENIENDO INFORMACIÓN DEL CLIENTE Y PROMOCIONANDO BIENES O SERVICIOS DE ACUERDO A LAS NECESIDADES DEL CONTRATANTE.,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA Y OTRAS ACTIVIDADES DE APOYO A LAS EMPRESAS
GESTIÓN DOCUMENTAL Y ARCHIVO,COORDINAR LOS PROCESOS DE GESTIÓN DOCUMENTAL Y ARCHIVO INSTITUCIONAL DE CONFORMIDAD A LOS OBJETIVOS INSTITUCIONALES Y NORMATIVA LEGAL VIGENTE.,ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
REALIZACIÓN Y REPRODUCCIÓN DE ESCULTURA Y ARTE GRÁFICO,"REALIZAR CON CREATIVIDAD, CRITERIO ESTETICO Y SOPORTE CONCEPTUAL, OBRAS ARTISTICAS Y REPRODUCCIONES EN ESCULTURA Y ARTE GRAFICO, MEDIANTE EL USO Y MANTENIMIENTO DE LAS INSTALACIONES Y EQUIPOS DEL TALLER, LA DIFUSION DE OBRAS CON FINES CULTURALES - COMERCIALES Y LA ORGANIZACION DE TALLERES DE ARTE, EN BASE A LAS NORMAS DE SEGURIDAD PARA LA SALUD Y PROTECCION DEL AMBIENTE.",ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO"
